Key,Values,Level,Message
<class>cdi.ConversationPropagator.java</class><start>155</start><end>222</end>,"['IfStatement', 'InstanceofExpression', 'VariableDeclarationStatement', 'VariableDeclarationFragment', 'MethodInvocation', 'ParenthesizedExpression', 'CastExpression', 'IfStatement', 'InstanceofExpression', 'VariableDeclarationStatement', 'VariableDeclarationFragment', 'MethodInvocation', 'CastExpression', 'IfStatement', 'InfixExpression', 'NullLiteral', 'IfStatement', 'InstanceofExpression', 'TryStatement', 'IfStatement', 'InstanceofExpression', 'MethodInvocation', 'ParenthesizedExpression', 'CastExpression', 'ExpressionStatement', 'MethodInvocation', 'NullLiteral', 'ReturnStatement', 'ReturnStatement', 'NullLiteral', 'CatchClause', 'IfStatement', 'MethodInvocation', 'ReturnStatement', 'IfStatement', 'MethodInvocation', 'MethodInvocation', 'ReturnStatement', 'NullLiteral', 'ExpressionStatement', 'MethodInvocation', 'MethodInvocation', 'ExpressionStatement', 'MethodInvocation', 'MethodInvocation', 'VariableDeclarationStatement', 'VariableDeclarationFragment', 'MethodInvocation', 'IfStatement', 'InfixExpression', 'InfixExpression', 'NullLiteral', 'PrefixExpression', 'MethodInvocation', 'IfStatement', 'PrefixExpression', 'MethodInvocation', 'MethodInvocation', 'ReturnStatement', 'ReturnStatement', 'EnhancedForStatement', 'MethodInvocation', 'TryStatement', 'IfStatement', 'InstanceofExpression', 'ExpressionStatement', 'MethodInvocation', 'ExpressionStatement', 'MethodInvocation', 'ExpressionStatement', 'MethodInvocation', 'ParenthesizedExpression', 'CastExpression', 'CatchClause', 'ExpressionStatement', 'MethodInvocation', 'ThrowStatement', 'ClassInstanceCreation', 'MethodInvocation', 'ExpressionStatement', 'MethodInvocation', 'BooleanLiteral', 'EnhancedForStatement', 'MethodInvocation', 'IfStatement', 'InfixExpression', 'NullLiteral', 'IfStatement', 'InstanceofExpression', 'VariableDeclarationStatement', 'VariableDeclarationFragment', 'MethodInvocation', 'MethodInvocation', 'ExpressionStatement', 'MethodInvocation', 'ParenthesizedExpression', 'CastExpression', 'IfStatement', 'InstanceofExpression', 'ReturnStatement', 'BooleanLiteral', 'IfStatement', 'MethodInvocation', 'StringLiteral']",info,Unable to restore conversation with id {}
<class>cdi.ConversationPropagator.java</class><start>273</start><end>280</end>,"['ReturnStatement', 'WhileStatement', 'InstanceofExpression', 'VariableDeclarationStatement', 'VariableDeclarationFragment', 'MethodInvocation', 'ExpressionStatement', 'Assignment', 'MethodInvocation', 'ParenthesizedExpression', 'CastExpression', 'IfStatement', 'InfixExpression', 'NullLiteral', 'IfStatement', 'MethodInvocation', 'IfStatement', 'InstanceofExpression', 'VariableDeclarationStatement', 'VariableDeclarationFragment', 'CastExpression', 'ExpressionStatement', 'MethodInvocation', 'IfStatement', 'MethodInvocation', 'ReturnStatement', 'CastExpression', 'MethodInvocation', 'IfStatement', 'MethodInvocation', 'ReturnStatement', 'NullLiteral', 'StringLiteral', 'MethodInvocation', 'VariableDeclarationStatement', 'VariableDeclarationFragment', 'MethodInvocation']",debug,Propagating non-transient conversation {} via page parameters of handler {}
<class>cdi.ConversationPropagator.java</class><start>291</start><end>295</end>,"['ReturnStatement', 'NullLiteral', 'IfStatement', 'InfixExpression', 'InfixExpression', 'NullLiteral', 'MethodInvocation', 'ParenthesizedExpression', 'ConditionalExpression', 'InfixExpression', 'NullLiteral', 'StringLiteral', 'MethodInvocation', 'ExpressionStatement', 'MethodInvocation', 'NullLiteral']",debug,Detaching transient conversation {} via meta of page instance {}
<class>cdi.ConversationPropagator.java</class><start>298</start><end>303</end>,"['ReturnStatement', 'NullLiteral', 'IfStatement', 'InfixExpression', 'InfixExpression', 'NullLiteral', 'MethodInvocation', 'ParenthesizedExpression', 'ConditionalExpression', 'InfixExpression', 'NullLiteral', 'StringLiteral', 'MethodInvocation', 'ExpressionStatement', 'MethodInvocation', 'NullLiteral', 'MethodInvocation', 'ExpressionStatement', 'MethodInvocation', 'MethodInvocation']",debug,Propagating non-transient conversation {} via meta of page instance {}
<class>cdi.ConversationPropagator.java</class><start>177</start><end>180</end>,"['IfStatement', 'InstanceofExpression', 'VariableDeclarationStatement', 'VariableDeclarationFragment', 'MethodInvocation', 'CastExpression', 'IfStatement', 'InfixExpression', 'NullLiteral', 'IfStatement', 'InstanceofExpression', 'TryStatement', 'IfStatement', 'InstanceofExpression', 'MethodInvocation', 'ParenthesizedExpression', 'CastExpression', 'ExpressionStatement', 'MethodInvocation', 'NullLiteral', 'ReturnStatement', 'ReturnStatement', 'NullLiteral', 'CatchClause', 'IfStatement', 'MethodInvocation', 'ReturnStatement', 'IfStatement', 'MethodInvocation', 'MethodInvocation', 'ReturnStatement', 'NullLiteral', 'ExpressionStatement', 'MethodInvocation', 'MethodInvocation', 'ExpressionStatement', 'MethodInvocation', 'MethodInvocation']",debug,Propagating non-transient conversation {} via url
<class>cdi.ConversationPropagator.java</class><start>182</start><end>308</end>,"['IfStatement', 'InstanceofExpression', 'VariableDeclarationStatement', 'VariableDeclarationFragment', 'MethodInvocation', 'CastExpression', 'IfStatement', 'InfixExpression', 'NullLiteral', 'IfStatement', 'InstanceofExpression', 'TryStatement', 'IfStatement', 'InstanceofExpression', 'MethodInvocation', 'ParenthesizedExpression', 'CastExpression', 'ExpressionStatement', 'MethodInvocation', 'NullLiteral', 'ReturnStatement', 'ReturnStatement', 'NullLiteral', 'CatchClause', 'IfStatement', 'MethodInvocation', 'ReturnStatement', 'IfStatement', 'MethodInvocation', 'MethodInvocation', 'ReturnStatement', 'NullLiteral', 'ExpressionStatement', 'MethodInvocation', 'MethodInvocation', 'ExpressionStatement', 'MethodInvocation', 'MethodInvocation', 'VariableDeclarationStatement', 'VariableDeclarationFragment', 'MethodInvocation', 'IfStatement', 'InfixExpression', 'InfixExpression', 'NullLiteral', 'PrefixExpression', 'MethodInvocation', 'IfStatement', 'PrefixExpression', 'MethodInvocation', 'MethodInvocation', 'ReturnStatement', 'ReturnStatement', 'EnhancedForStatement', 'MethodInvocation', 'TryStatement', 'IfStatement', 'InstanceofExpression', 'ExpressionStatement', 'MethodInvocation', 'ExpressionStatement', 'MethodInvocation', 'ExpressionStatement', 'MethodInvocation', 'ParenthesizedExpression', 'CastExpression', 'CatchClause', 'ExpressionStatement', 'MethodInvocation', 'ThrowStatement', 'ClassInstanceCreation', 'MethodInvocation', 'ExpressionStatement', 'MethodInvocation', 'BooleanLiteral', 'EnhancedForStatement', 'MethodInvocation', 'IfStatement', 'InfixExpression', 'NullLiteral', 'IfStatement', 'InstanceofExpression', 'VariableDeclarationStatement', 'VariableDeclarationFragment', 'MethodInvocation', 'MethodInvocation', 'ExpressionStatement', 'MethodInvocation', 'ParenthesizedExpression', 'CastExpression', 'IfStatement', 'InstanceofExpression', 'ReturnStatement', 'BooleanLiteral', 'IfStatement', 'MethodInvocation', 'StringLiteral', 'ReturnStatement', 'BooleanLiteral', 'VariableDeclarationStatement', 'VariableDeclarationFragment', 'MethodInvocation', 'IfStatement', 'MethodInvocation', 'StringLiteral', 'IfStatement', 'InfixExpression', 'NullLiteral', 'ReturnStatement', 'BooleanLiteral', 'ReturnStatement', 'ReturnStatement', 'BooleanLiteral', 'VariableDeclarationStatement', 'VariableDeclarationFragment', 'MethodInvocation', 'IfStatement', 'InfixExpression', 'NullLiteral', 'VariableDeclarationStatement', 'VariableDeclarationFragment', 'MethodInvocation', 'ReturnStatement', 'IfStatement', 'InfixExpression', 'NullLiteral', 'ExpressionStatement', 'MethodInvocation', 'ExpressionStatement', 'MethodInvocation', 'ExpressionStatement', 'MethodInvocation', 'IfStatement', 'MethodInvocation', 'ReturnStatement', 'MethodInvocation', 'ExpressionStatement', 'MethodInvocation', 'ExpressionStatement', 'MethodInvocation', 'NullLiteral', 'VariableDeclarationStatement', 'VariableDeclarationFragment', 'MethodInvocation', 'IfStatement', 'InfixExpression', 'InfixExpression', 'NullLiteral', 'MethodInvocation', 'ReturnStatement', 'WhileStatement', 'InstanceofExpression', 'VariableDeclarationStatement', 'VariableDeclarationFragment', 'MethodInvocation', 'ExpressionStatement', 'Assignment', 'MethodInvocation', 'ParenthesizedExpression', 'CastExpression', 'IfStatement', 'InfixExpression', 'NullLiteral', 'IfStatement', 'MethodInvocation', 'IfStatement', 'InstanceofExpression', 'VariableDeclarationStatement', 'VariableDeclarationFragment', 'CastExpression', 'ExpressionStatement', 'MethodInvocation', 'IfStatement', 'MethodInvocation', 'ReturnStatement', 'CastExpression', 'MethodInvocation', 'IfStatement', 'MethodInvocation', 'ReturnStatement', 'NullLiteral', 'StringLiteral', 'MethodInvocation', 'VariableDeclarationStatement', 'VariableDeclarationFragment', 'MethodInvocation', 'IfStatement', 'InfixExpression', 'NullLiteral', 'ExpressionStatement', 'MethodInvocation', 'MethodInvocation', 'IfStatement', 'InstanceofExpression', 'VariableDeclarationStatement', 'VariableDeclarationFragment', 'CastExpression', 'ReturnStatement', 'MethodInvocation', 'ReturnStatement', 'NullLiteral', 'IfStatement', 'InfixExpression', 'InfixExpression', 'NullLiteral', 'MethodInvocation', 'ParenthesizedExpression', 'ConditionalExpression', 'InfixExpression', 'NullLiteral', 'StringLiteral', 'MethodInvocation', 'ExpressionStatement', 'MethodInvocation', 'NullLiteral', 'MethodInvocation', 'ExpressionStatement', 'MethodInvocation', 'MethodInvocation']",info,Unable to restore conversation with id {}
<class>cdi.ConversationPropagator.java</class><start>327</start><end>332</end>,"['ReturnStatement', 'NullLiteral', 'IfStatement', 'InfixExpression', 'InfixExpression', 'NullLiteral', 'MethodInvocation', 'ParenthesizedExpression', 'ConditionalExpression', 'InfixExpression', 'NullLiteral', 'StringLiteral', 'MethodInvocation', 'ExpressionStatement', 'MethodInvocation', 'NullLiteral', 'MethodInvocation', 'ExpressionStatement', 'MethodInvocation', 'MethodInvocation', 'IfStatement', 'InstanceofExpression', 'IfStatement', 'InstanceofExpression', 'MethodInvocation', 'ParenthesizedExpression', 'CastExpression', 'ReturnStatement', 'VariableDeclarationStatement', 'VariableDeclarationFragment', 'MethodInvocation', 'IfStatement', 'InfixExpression', 'InfixExpression', 'NullLiteral', 'MethodInvocation', 'ReturnStatement', 'IfStatement', 'MethodInvocation', 'ExpressionStatement', 'MethodInvocation', 'MethodInvocation']",debug,Propagating non-transient conversation {} via url
<class>cdi.ConversationPropagator.java</class><start>190</start><end>192</end>,"['IfStatement', 'InfixExpression', 'InfixExpression', 'NullLiteral', 'PrefixExpression', 'MethodInvocation', 'IfStatement', 'PrefixExpression', 'MethodInvocation', 'MethodInvocation', 'ReturnStatement', 'ReturnStatement']",debug,Activating conversation {}
<class>cdi.ConversationPropagator.java</class><start>200</start><end>337</end>,"['IfStatement', 'InfixExpression', 'InfixExpression', 'NullLiteral', 'PrefixExpression', 'MethodInvocation', 'IfStatement', 'PrefixExpression', 'MethodInvocation', 'MethodInvocation', 'ReturnStatement', 'ReturnStatement', 'EnhancedForStatement', 'MethodInvocation', 'TryStatement', 'IfStatement', 'InstanceofExpression', 'ExpressionStatement', 'MethodInvocation', 'ExpressionStatement', 'MethodInvocation', 'ExpressionStatement', 'MethodInvocation', 'ParenthesizedExpression', 'CastExpression', 'CatchClause', 'ExpressionStatement', 'MethodInvocation', 'ThrowStatement', 'ClassInstanceCreation', 'MethodInvocation', 'ExpressionStatement', 'MethodInvocation', 'BooleanLiteral', 'EnhancedForStatement', 'MethodInvocation', 'IfStatement', 'InfixExpression', 'NullLiteral', 'IfStatement', 'InstanceofExpression', 'VariableDeclarationStatement', 'VariableDeclarationFragment', 'MethodInvocation', 'MethodInvocation', 'ExpressionStatement', 'MethodInvocation', 'ParenthesizedExpression', 'CastExpression', 'IfStatement', 'InstanceofExpression', 'ReturnStatement', 'BooleanLiteral', 'IfStatement', 'MethodInvocation', 'StringLiteral', 'ReturnStatement', 'BooleanLiteral', 'VariableDeclarationStatement', 'VariableDeclarationFragment', 'MethodInvocation', 'IfStatement', 'MethodInvocation', 'StringLiteral', 'IfStatement', 'InfixExpression', 'NullLiteral', 'ReturnStatement', 'BooleanLiteral', 'ReturnStatement', 'ReturnStatement', 'BooleanLiteral', 'VariableDeclarationStatement', 'VariableDeclarationFragment', 'MethodInvocation', 'IfStatement', 'InfixExpression', 'NullLiteral', 'VariableDeclarationStatement', 'VariableDeclarationFragment', 'MethodInvocation', 'ReturnStatement', 'IfStatement', 'InfixExpression', 'NullLiteral', 'ExpressionStatement', 'MethodInvocation', 'ExpressionStatement', 'MethodInvocation', 'ExpressionStatement', 'MethodInvocation', 'IfStatement', 'MethodInvocation', 'ReturnStatement', 'MethodInvocation', 'ExpressionStatement', 'MethodInvocation', 'ExpressionStatement', 'MethodInvocation', 'NullLiteral', 'VariableDeclarationStatement', 'VariableDeclarationFragment', 'MethodInvocation', 'IfStatement', 'InfixExpression', 'InfixExpression', 'NullLiteral', 'MethodInvocation', 'ReturnStatement', 'WhileStatement', 'InstanceofExpression', 'VariableDeclarationStatement', 'VariableDeclarationFragment', 'MethodInvocation', 'ExpressionStatement', 'Assignment', 'MethodInvocation', 'ParenthesizedExpression', 'CastExpression', 'IfStatement', 'InfixExpression', 'NullLiteral', 'IfStatement', 'MethodInvocation', 'IfStatement', 'InstanceofExpression', 'VariableDeclarationStatement', 'VariableDeclarationFragment', 'CastExpression', 'ExpressionStatement', 'MethodInvocation', 'IfStatement', 'MethodInvocation', 'ReturnStatement', 'CastExpression', 'MethodInvocation', 'IfStatement', 'MethodInvocation', 'ReturnStatement', 'NullLiteral', 'StringLiteral', 'MethodInvocation', 'VariableDeclarationStatement', 'VariableDeclarationFragment', 'MethodInvocation', 'IfStatement', 'InfixExpression', 'NullLiteral', 'ExpressionStatement', 'MethodInvocation', 'MethodInvocation', 'IfStatement', 'InstanceofExpression', 'VariableDeclarationStatement', 'VariableDeclarationFragment', 'CastExpression', 'ReturnStatement', 'MethodInvocation', 'ReturnStatement', 'NullLiteral', 'IfStatement', 'InfixExpression', 'InfixExpression', 'NullLiteral', 'MethodInvocation', 'ParenthesizedExpression', 'ConditionalExpression', 'InfixExpression', 'NullLiteral', 'StringLiteral', 'MethodInvocation', 'ExpressionStatement', 'MethodInvocation', 'NullLiteral', 'MethodInvocation', 'ExpressionStatement', 'MethodInvocation', 'MethodInvocation', 'IfStatement', 'InstanceofExpression', 'IfStatement', 'InstanceofExpression', 'MethodInvocation', 'ParenthesizedExpression', 'CastExpression', 'ReturnStatement', 'VariableDeclarationStatement', 'VariableDeclarationFragment', 'MethodInvocation', 'IfStatement', 'InfixExpression', 'InfixExpression', 'NullLiteral', 'MethodInvocation', 'ReturnStatement', 'IfStatement', 'MethodInvocation', 'ExpressionStatement', 'MethodInvocation', 'MethodInvocation']",info,Unable to restore conversation with id {}
<class>cdi.ConversationPropagator.java</class><start>341</start><end>343</end>,"['ReturnStatement', 'NullLiteral', 'IfStatement', 'InfixExpression', 'InfixExpression', 'NullLiteral', 'MethodInvocation', 'ParenthesizedExpression', 'ConditionalExpression', 'InfixExpression', 'NullLiteral', 'StringLiteral', 'MethodInvocation', 'ExpressionStatement', 'MethodInvocation', 'NullLiteral', 'MethodInvocation', 'ExpressionStatement', 'MethodInvocation', 'MethodInvocation', 'IfStatement', 'InstanceofExpression', 'IfStatement', 'InstanceofExpression', 'MethodInvocation', 'ParenthesizedExpression', 'CastExpression', 'ReturnStatement', 'VariableDeclarationStatement', 'VariableDeclarationFragment', 'MethodInvocation', 'IfStatement', 'InfixExpression', 'InfixExpression', 'NullLiteral', 'MethodInvocation', 'ReturnStatement', 'IfStatement', 'MethodInvocation', 'ExpressionStatement', 'MethodInvocation', 'MethodInvocation', 'VariableDeclarationStatement', 'VariableDeclarationFragment', 'MethodInvocation', 'IfStatement', 'InfixExpression', 'NullLiteral']",debug,Deactivating conversation {}
